section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Население, не входящее в состав рабочей силы;Y477100022;Численность потенциальной рабочей силы;CD;Российская Федерация;Страна;00000000;00000000;2012;1400.5731445670017;Тысяч человек;До 2017 года население в возрасте 15‒72 ;Рабочая сила, занятость и безработица в России 2022;v20260313;ok
Строительство;Y477110026;Ввод в действие мощностей больничных организаций: На 100000 ;CD;Хабаровский край;Регион;08000000;08000000;2024;-77777777.0;Коек;CD;Регионы России. Социально-экономические показатели 2025;v20260313;hidden
Результаты инвестиционной деятельности;Y477050010;Ввод в действие мощностей общеобразовательных организаций;CD;Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000;2019;850.0;Ученических мест;CD;Инвестиции в России 2023;v20260313;ok
Труд;Y477110449;Численность зарегистрированных безработных;CD;Республика Саха (Якутия);Регион;98000000;98000000;2001;6.4;На конец года, тысяч человек;По данным Федеральной службы по труду и ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110428;Урожайность подсолнечника;CD;Кабардино-Балкарская Республика;Регион;83000000;83000000;2006;10.2;В хозяйствах всех категорий, центнеров с одного гектара убранной площади;До 2010 г. — в первоначально оприходован;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Охрана атмосферного воздуха;Y477070039;Характеристика состояния атмосферного воздуха;Из них превышающих предельно допустимую концентрацию: в процентах от общего числа исследован-ных проб;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2021;0.1;ND;Число исследованных проб, превышающих пр;Охрана окружающей среды в России 2022;v20260313;ok
Уровень жизни населения;Y477110329;Предоставление гражданам субсидий на оплату жилого помещения;CD;Сахалинская область;Регион;64000000;64000000;2010;400.3;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Затраты на рабочую силу, заработная плата работников;Y477170015;Средняя начисленная заработная плата работников организаций ;Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства;Российская Федерация;Страна;00000000;00000000;2023;49348.0;Без субъектов малого предпринимательства, по данным выборочного обследования за октябрь, рублей;CD;Труд и занятость в России 2025;v20260313;ok
Образование;Y477110340;Прием на обучение по программам подготовки специалистов сред;CD;Самарская область;Регион;36000000;36000000;2016;16.8;Тысяч человек;С 2013 г. — по данным Минпросвещения Рос;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Строительство и рынок жилья;Y477030064;Средние цены на первичном и вторичном рынках жилья;Первичный рынок жилья;Удмуртская Республика;Регион;94000000;94000000;2023;92563.0;На конец года, рублей за квадратный метр общей площади;CD;Жилищное хозяйство в России 2025;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110281;Основные финансовые показатели организаций, осуществляющих д;CD;Ульяновская область;Регион;73000000;73000000;2023;194.0;Миллионов рублей;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2025;v20260313;ok
