indicator_code;indicator_name;section;primary_unit
Y477040027;Продажа алкогольных напитков населению;Условия жизни населения;"Тысяч декалитров; для значений в целом по России: млн дкл"
Y477040028;Профилактический учет пациентов с психическими расстройствами и расстройствами поведения, связанными с употреблением с вредными последствиями психоактивных веществ;Состояние здоровья населения;На 100 000 человек населения
Y477040029;Распределение численности врачей по отдельным специальностям;Занятость и оплата труда в здравоохранении в российской федерации;На конец года, человек
Y477040030;Распределение численности населения по полу и отдельным возрастным группам на 1 января;Демографическая ситуация;Тысяч человек
Y477040031;Распределение численности среднего медицинского персонала по отдельным специальностям;Занятость и оплата труда в здравоохранении в российской федерации;Человек
Y477040032;Расходы консолидированных бюджетов субъектов Российской Федерации на здравоохранение;Основные экономические показатели здравоохранения;Миллионов рублей
Y477040033;Смертность населения по основным классам причин смерти;Демографическая ситуация;Число умерших на 100 000 человек населения
Y477040034;Среднемесячная номинальная начисленная заработная плата работников в организациях здравоохранения;Занятость и оплата труда в здравоохранении в российской федерации;Рублей
Y477040035;Среднесписочная численность работников в организациях здравоохранения;Занятость и оплата труда в здравоохранении в российской федерации;Тысяч человек
Y477040036;Стационарные организации социального обслуживания для граждан пожилого возраста и инвалидов (взрослых и детей);Состояние здоровья населения;
Y477040037;Умершие в трудоспособном возрасте;Демографическая ситуация;
Y477040038;Фактические объемы медицинской помощи, предоставляемой населению в рамках территориальных программ государственных гарантий бесплатного оказания гражданам медицинской помощи;Основные экономические показатели здравоохранения;
